RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         1325     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   85     0     0  con    0  1.0D+00  8.2D-01  7.755D+01  3.336D+04
   73   86     0     0  con    0  1.0D+00  2.7D+00  1.499D+02  3.336D+04
   74   87     0     0  con    0  1.0D+00  1.1D+00  3.666D+01  3.335D+04
   75   88     0     0  con    0  1.0D+00  9.2D-01  5.357D+01  3.335D+04
   76   89     0     0  con    0  1.0D+00  2.0D+00  9.438D+01  3.335D+04
   77   91     0     0  con    1  2.8D-01  1.3D+00  4.790D+01  3.334D+04
   78   92     0     0  con    0  1.0D+00  2.0D+00  5.676D+01  3.334D+04
   79   94     0     0  con    1  3.5D-02  3.6D-01  6.584D+01  3.334D+04
   80   95     0     0  con    0  1.0D+00  5.1D+00  1.552D+01  3.333D+04
   81   97     0     0  con    1  4.9D-01  2.5D+00  9.993D+01  3.333D+04
   82   98     0     0  con    0  1.0D+00  4.7D-01  7.233D+01  3.332D+04
   83  100     0     0  con    1  4.9D-01  3.1D+00  5.956D+01  3.332D+04
   84  101     0     0  con    0  1.0D+00  1.1D+00  4.652D+01  3.332D+04
   85  103     0     0  con    1  6.8D-02  6.6D-01  4.125D+01  3.332D+04
   86  104     0     0  con    0  1.0D+00  5.6D-01  6.057D+01  3.331D+04
   87  105     0     0  con    0  1.0D+00  3.9D+00  2.951D+01  3.330D+04
   88  107     0     0  con    1  4.3D-02  5.8D-01  1.198D+02  3.330D+04
   89  108     0     0  con    0  1.0D+00  9.5D-01  5.234D+01  3.330D+04
   90  109     0     0  con    0  1.0D+00  7.7D-01  1.087D+02  3.330D+04
   91  110     0     0  con    0  1.0D+00  4.1D-01  1.317D+02  3.329D+04
   92  111     0     0  con    0  1.0D+00  2.3D+00  1.607D+01  3.329D+04
   93  112     0     0  con    0  1.0D+00  5.0D-01  1.669D+02  3.329D+04
   94  113     0     0  con    0  1.0D+00  1.7D-01  7.398D+00  3.328D+04
   95  114     0     0  con    0  1.0D+00  1.1D-01  1.319D+01  3.328D+04
   96  116     0     0  con    1  3.9D-02  3.4D-02  6.885D+00  3.328D+04
   97  117     0     0  con    0  1.0D+00  8.6D-02  3.615D+00  3.328D+04
   98  118     0     0  con    0  1.0D+00  5.0D-01  2.102D+01  3.328D+04
   99  119     0     0  con    0  1.0D+00  2.7D-01  2.953D+01  3.328D+04
  100  121     0     0  con    1  1.6D-01  1.5D-01  6.662D+00  3.328D+04
  101  122     0     0  con    0  1.0D+00  3.7D-01  3.549D+01  3.328D+04
  102  123     0     0  con    0  1.0D+00  4.5D-01  6.274D+00  3.328D+04
  103  124     0     0  con    0  1.0D+00  9.6D-01  5.926D+01  3.328D+04
  104  125     0     0  con    0  1.0D+00  2.1D-01  4.174D+00  3.328D+04
  105  126     0     0  con    0  1.0D+00  6.3D-02  1.888D+01  3.328D+04
  106  127     0     0  con    0  1.0D+00  5.1D-02  9.697D+00  3.328D+04
  107  128     0     0  con    0  1.0D+00  1.9D-01  2.304D+01  3.328D+04
  108  130     0     0  con    1  4.4D-01  4.5D-02  1.627D+01  3.328D+04
  109  131     0     0  con    0  1.0D+00  6.3D-02  1.376D+01  3.328D+04
  110  132     0     0  con    0  1.0D+00  6.7D-02  1.159D+01  3.328D+04
  111  134     0     0  con    1  6.4D-02  1.1D-01  2.928D+01  3.328D+04
  112  135     0     0  con    0  1.0D+00  3.7D-01  6.216D+00  3.328D+04
  113  136     0     0  con    0  1.0D+00  2.7D-01  7.856D+00  3.328D+04
  114  138     0     0  con    1  3.2D-02  7.4D-02  2.395D+01  3.328D+04
  115  139     0     0  con    0  1.0D+00  1.3D-01  1.201D+01  3.328D+04
  116  141     0     0  con    1  4.2D-01  2.4D-01  1.918D+01  3.328D+04
  117  142     0     0  con    0  1.0D+00  4.5D-02  1.847D+01  3.328D+04
  118  143     0     0  con    0  1.0D+00  4.1D-01  1.874D+01  3.328D+04
  119  145     0     0  con    1  2.1D-01  3.5D-02  1.226D+01  3.328D+04
  120  146     0     0  con    0  1.0D+00  1.6D-01  1.120D+01  3.328D+04
  121  147     0     0  con    0  1.0D+00  3.7D-01  6.049D+00  3.328D+04
  122  149     0     0  con    1  2.3D-01  2.3D-01  1.612D+01  3.328D+04
  123  150     0     0  con    0  1.0D+00  1.5D-01  4.519D+00  3.328D+04
  124  151     0     0  con    0  1.0D+00  1.3D-01  6.375D+00  3.328D+04
  125  152     0     0  con    0  1.0D+00  3.4D-01  4.563D+01  3.328D+04
  126  153     0     0  con    0  1.0D+00  9.8D-01  5.043D+01  3.328D+04
  127  154     0     0  con    0  1.0D+00  9.6D-01  1.795D+02  3.328D+04
  128  155     0     0  con    0  1.0D+00  3.9D-01  7.864D+01  3.328D+04
  129  156     0     0  con    0  1.0D+00  1.1D-01  1.348D+01  3.327D+04
  130  157     0     0  con    0  1.0D+00  3.2D-01  5.344D+01  3.327D+04
  131  158     0     0  con    0  1.0D+00  2.9D-01  1.381D+01  3.327D+04
  132  159     0     0  con    0  1.0D+00  1.5D-01  5.296D+00  3.327D+04
  133  160     0     0  con    0  1.0D+00  2.7D-01  2.707D+01  3.327D+04
  134  161     0     0  con    0  1.0D+00  9.6D-02  3.353D+01  3.327D+04
  135  162     0     0  con    0  1.0D+00  5.4D-01  3.986D+01  3.327D+04
  136  164     0     0  con    1  8.6D-02  2.2D-01  5.604D+01  3.327D+04
  137  165     0     0  con    0  1.0D+00  3.6D-01  6.317D+01  3.327D+04
  138  167     0     0  con    1  2.6D-02  2.5D-01  1.048D+01  3.327D+04
  139  168     0     0  con    0  1.0D+00  5.8D-02  1.176D+01  3.327D+04
  140  170     0     0  con    1  7.8D-02  1.7D-01  1.384D+01  3.327D+04
  141  171     0     0  con    0  1.0D+00  1.0D-01  1.052D+01  3.327D+04
  142  172     0     0  con    0  1.0D+00  4.0D-01  3.405D+01  3.327D+04
  143  173     0     0  con    0  1.0D+00  1.6D-01  1.381D+01  3.327D+04
  144  174     0     0  con    0  1.0D+00  2.3D-01  6.553D+00  3.327D+04
  145  175     0     0  con    0  1.0D+00  6.5D-02  9.799D+00  3.327D+04
  146  176     0     0  con    0  1.0D+00  1.8D-01  1.760D+01  3.327D+04
  147  177     0     0  con    0  1.0D+00  1.9D-01  2.192D+01  3.327D+04
  148  179     0     0  con    1  1.5D-01  1.5D-01  9.907D+00  3.327D+04
  149  180     0     0  con    0  1.0D+00  2.1D-01  4.743D+01  3.327D+04
  150  181     0     0  con    0  1.0D+00  4.0D-01  1.783D+01  3.327D+04
  151  182     0     0  con    0  1.0D+00  6.7D-02  5.514D+00  3.327D+04
  152  183     0     0  con    0  1.0D+00  4.4D-02  1.626D+00  3.327D+04
  153  185     0     0  con    1  4.1D-01  9.9D-02  1.432D+01  3.327D+04
  154  186     0     0  con    0  1.0D+00  6.2D-02  1.124D+01  3.327D+04
  155  187     0     0  con    0  1.0D+00  6.0D-02  4.843D+00  3.327D+04
  156  188     0     0  con    0  1.0D+00  9.7D-02  5.385D+00  3.327D+04
  157  189     0     0  con    0  1.0D+00  6.2D-02  8.122D+00  3.327D+04
  158  190     0     0  con    0  1.0D+00  1.2D-01  2.704D+00  3.327D+04
  159  191     0     0  con    0  1.0D+00  8.1D-02  1.613D+01  3.327D+04
  160  193     0     0  con    1  2.6D-01  1.2D-01  3.786D+00  3.327D+04
  161  194     0     0  con    0  1.0D+00  5.8D-02  4.079D+00  3.327D+04
  162  196     0     0  con    1  4.1D-01  8.9D-02  7.818D+00  3.327D+04
  163  197     0     0  con    0  1.0D+00  4.7D-02  3.473D+00  3.327D+04
  164  198     0     0  con    0  1.0D+00  2.4D-02  1.977D+00  3.327D+04
  165  199     0     0  con    0  1.0D+00  4.0D-02  1.896D+00  3.327D+04
  166  201     0     0  con    1  1.2D-02  5.4D-02  8.145D+00  3.327D+04
  167  202     0     0  con    0  1.0D+00  3.6D-02  7.635D+00  3.327D+04
  168  204     0     0  con    1  2.7D-01  4.2D-02  2.441D+00  3.327D+04
  169  205     0     0  con    0  1.0D+00  4.4D-02  3.668D+00  3.327D+04
  170  206     0     0  con    0  1.0D+00  2.1D-01  3.527D+00  3.327D+04
  171  208     0     0  con    1  9.8D-03  2.2D-02  7.468D+00  3.327D+04
  172  209     0     0  con    0  1.0D+00  6.0D-02  5.053D+00  3.327D+04
  173  211     0     0  con    1  6.5D-02  3.4D-02  4.666D-01  3.327D+04
  174  212     0     0  con    0  1.0D+00  1.7D-02  5.839D-01  3.327D+04
  175  213     0     0  con    0  1.0D+00  2.5D-02  8.276D-01  3.327D+04
  176  214     0     0  con    0  1.0D+00  1.4D-01  7.097D-01  3.327D+04
  177  216     0     0  con    1  8.8D-02  3.7D-02  4.947D+00  3.327D+04
  178  217     0     0  con    0  1.0D+00  6.7D-02  3.897D+00  3.327D+04
  179  219     0     0  con    1  2.1D-01  4.8D-02  7.377D-01  3.327D+04
  180  220     0     0  con    0  1.0D+00  2.9D-02  5.619D-01  3.327D+04
  181  221     0     0  con    0  1.0D+00  4.1D-02  4.895D-01  3.327D+04
  182  223     0     0  con    1  1.0D-01  2.2D-02  4.693D+00  3.327D+04
  183  224     0     0  con    0  1.0D+00  2.3D-02  3.215D+00  3.327D+04
  184  226     0     0  con    1  5.3D-02  2.2D-02  3.926D-01  3.327D+04
  185  227     0     0  con    0  1.0D+00  7.1D-03  4.686D-01  3.327D+04
  186  228     0     0  con    0  1.0D+00  1.1D-02  6.974D-01  3.327D+04
  187  229     0     0  con    0  1.0D+00  4.3D-02  2.026D+00  3.327D+04
  188  231     0     0  con    1  7.2D-02  2.1D-02  1.379D+00  3.327D+04
  189  232     0     0  con    0  1.0D+00  2.5D-02  7.186D-01  3.327D+04
  190  233     0     0  con    0  1.0D+00  3.2D-02  2.144D+00  3.327D+04
  191  234     0     0  con    0  1.0D+00  3.9D-02  1.292D+00  3.327D+04
  192  235     0     0  con    0  1.0D+00  5.2D-02  1.090D+00  3.327D+04
